    [(237.0, 101087.0), (393.0, 138464.0), (132.0, 138883.0), (369.0, 146163.0), (418.0, 313478.0), (127.0, 426887.0), (395.0, 539014.0), (290.0, 766668.0), (152.0, 1822889.0), (281.0, 1822889.0)]]"
120000,"[(433.0, 33499.0), (132.0, 102599.0), (476.0, 172107.0), (455.0, 209025.0), (290.0, 296942.0), (127.0, 341738.0), (478.0, 358964.0), (499.0, 423806.0), (423.0, 428073.0), (395.0, 428138.0), (21.0, 430818.0), (474.0, 461916.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 23859511.0)]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]"
130000,"[(433.0, 33499.0), (132.0, 102599.0), (476.0, 172107.0), (455.0, 209025.0), (290.0, 296942.0), (127.0, 341738.0), (478.0, 358964.0), (499.0, 423806.0), (423.0, 428073.0), (395.0, 428138.0), (21.0, 430818.0), (474.0, 461916.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 23859511.0)]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]"
140000,"[(433.0, 33499.0), (132.0, 102599.0), (476.0, 172107.0), (455.0, 209025.0), (290.0, 296942.0), (127.0, 341738.0), (478.0, 358964.0), (499.0, 423806.0), (423.0, 428073.0), (395.0, 428138.0), (21.0, 430818.0), (474.0, 461916.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 23859511.0)]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]"
150000,"[(433.0, 33499.0), (132.0, 102599.0), (476.0, 172107.0), (455.0, 209025.0), (290.0, 296942.0), (127.0, 341738.0), (478.0, 358964.0), (499.0, 423806.0), (423.0, 428073.0), (395.0, 428138.0), (21.0, 430818.0), (474.0, 461916.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 23859511.0)]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]"
160000,"[(433.0, 33499.0), (132.0, 102599.0), (476.0, 172107.0), (455.0, 209025.0), (290.0, 296942.0), (127.0, 341738.0), (478.0, 358964.0), (499.0, 423806.0), (423.0, 428073.0), (395.0, 428138.0), (21.0, 430818.0), (474.0, 461916.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 23859511.0)]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]"
170000,"[(433.0, 33499.0), (132.0, 102599.0), (476.0, 172107.0), (455.0, 209025.0), (290.0, 296942.0), (127.0, 341738.0), (478.0, 358964.0), (499.0, 423806.0), (423.0, 428073.0), (395.0, 428138.0), (21.0, 430818.0), (474.0, 461916.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 23859511.0)]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]"
180000,"[(433.0, 33499.0), (132.0, 102599.0), (476.0, 172107.0), (455.0, 209025.0), (290.0, 296942.0), (127.0, 341738.0), (478.0, 358964.0), (499.0, 423806.0), (423.0, 428073.0), (395.0, 428138.0), (21.0, 430818.0), (474.0, 461916.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 23859511.0)]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]"
190000,"[(433.0, 33499.0), (132.0, 102599.0), (476.0, 172107.0), (455.0, 209025.0), (290.0, 296942.0), (127.0, 341738.0), (478.0, 358964.0), (499.0, 423806.0), (423.0, 428073.0), (395.0, 428138.0), (21.0, 430818.0), (474.0, 461916.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 23859511.0)]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]"
200000,"[(433.0, 33499.0), (132.0, 102599.0), (476.0, 172107.0), (455.0, 209025.0), (290.0, 296942.0), (127.0, 341738.0), (478.0, 358964.0), (499.0, 423806.0), (423.0, 428073.0), (395.0, 428138.0), (21.0, 430818.0), (474.0, 461916.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 23859511.0)]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]"
210000,"[(433.0, 33499.0), (132.0, 102599.0), (476.0, 172107.0), (455.0, 209025.0), (290.0, 296942.0), (127.0, 341738.0), (478.0, 358964.0), (499.0, 423806.0), (423.0, 428073.0), (395.0, 428138.0), (21.0, 430818.0), (474.0, 461916.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 23859511.0)]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]"
